zone,label,non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
0,,751,0,0.0415680930018425,0.974144220352173,0.93257612735033,0.599171283976057,0.599171283976057,0.362363640358737,0.131307407854036,60.4774711421613,449.977634266019,449.977634266019
1,,748,0,0.0415680930018425,1.71335828304291,1.67179019004107,0.475544863006967,0.475544863006967,0.600577661532654,0.360693527532031,126.292534785273,355.707557529211,355.707557529211
2,,749,0,0.0306385103613138,1.71335828304291,1.68271977268159,1.13849986803398,1.13849986803398,0.779947100960765,0.608317480297101,68.5065605064685,852.736401157454,852.736401157454
3,,748,0,0.0306385103613138,1.71335828304291,1.68271977268159,1.15592671945233,1.15592671945233,0.741726353843353,0.550157983985754,64.1672470547941,864.633186150342,864.633186150342
4,,748,0,0.0155212758108974,1.64431214332581,1.62879086751491,1.01642197736086,1.01642197736086,0.783122363238618,0.613280635804438,77.0469726827432,760.283639065921,760.283639065921
5,,749,0,0.0155212758108974,1.64431214332581,1.62879086751491,0.456982291380667,0.456982291380667,0.689634601755049,0.475595883937845,150.910574602678,342.27973624412,342.27973624412
6,,748,0,0.0146965412423015,0.156942576169968,0.142246034927666,0.124322224108323,0.124322224108323,0.0501099289797312,0.0025110049823537,40.3064933394934,92.9930236330256,92.9930236330256
7,,749,0,0.00734827062115073,0.561295032501221,0.55394676188007,0.137051541900986,0.137051541900986,0.113538856418168,0.0128910719167454,82.8439102860991,102.651604883838,102.651604883838
8,,749,0,0.00734827062115073,0.967763841152191,0.96041557053104,0.441753240724347,0.441753240724347,0.295251588441341,0.087173500477135,66.836315214624,330.873177302536,330.873177302536
9,,748,0,0.561295032501221,2.35144639015198,1.79015135765076,0.843101323925875,0.843101323925875,0.432966086513499,0.187459632070815,51.3539801476537,630.639790296555,630.639790296555
10,,748,0,0.561295032501221,2.35144639015198,1.79015135765076,1.58444511818695,1.58444511818695,0.651263344946718,0.424143944471187,41.1035596923639,1185.16494840384,1185.16494840384
11,,750,0,0.013671612367034,2.35144639015198,2.33777477778494,1.54516639713446,1.54516639713446,0.580270386620199,0.336713721588356,37.5539092551016,1158.87479785085,1158.87479785085
12,,748,0,0.013671612367034,2.35144639015198,2.33777477778494,0.964832611618573,0.964832611618573,0.549472476712127,0.301920002664159,56.950031549032,721.694793490693,721.694793490693
13,,749,0,0.013671612367034,1.33234119415283,1.3186695817858,0.897925647654545,0.897925647654545,0.601266506504087,0.361521411843629,66.9617254028376,672.546310093254,672.546310093254
14,,749,0,0.0448832511901855,2.50781893730164,2.46293568611145,1.14909579215922,1.14909579215922,1.06011064121963,1.12383457162709,92.2560719874899,860.672748327255,860.672748327255
15,,749,0,0.0448832511901855,2.50781893730164,2.46293568611145,1.95741498263401,1.95741498263401,0.684681245374177,0.468788407767134,34.9788497303127,1466.10382199287,1466.10382199287
16,,747,0,0.0203804355114698,2.50781893730164,2.48743850179017,1.80457817856347,1.80457817856347,0.548575769983738,0.300935375413251,30.399113571263,1348.01989938691,1348.01989938691
17,,750,0,0.0203804355114698,2.09991002082825,2.07952958531678,1.59328724135458,1.59328724135458,0.820430669926656,0.673106484156301,51.492954228965,1194.96543101594,1194.96543101594
18,,748,0,0.0474036820232868,2.09991002082825,2.05250633880496,1.20627966052031,1.20627966052031,0.964317097722673,0.929907464960279,79.9414206575224,902.297186069191,902.297186069191
19,,748,0,0.0474036820232868,2.09991002082825,2.05250633880496,0.380702678537504,0.380702678537504,0.396138425044463,0.156925651796707,104.054541083413,284.765603546053,284.765603546053
20,,749,0,0.0464745461940765,0.622591435909271,0.576116889715195,0.264258786677837,0.264258786677837,0.274848707861058,0.075541812212893,104.007405511981,197.9298312217,197.9298312217
21,,749,0,0.0464745461940765,0.622591435909271,0.576116889715195,0.369726232587495,0.369726232587495,0.273455874912964,0.0747781155244146,73.9617183771917,276.924948208034,276.924948208034
22,,748,0,0.0464745461940765,0.620814263820648,0.574339717626572,0.578905748213357,0.578905748213357,0.0581675014699032,0.00338345822725119,10.0478362236723,433.021499663591,433.021499663591
23,,748,0,0.537556886672974,0.620814263820648,0.0832573771476746,0.572958855466409,0.572958855466409,0.0266583226711281,0.000710666167637981,4.65274642616829,428.573223888874,428.573223888874
24,,750,0,0.537556886672974,0.592317223548889,0.0547603368759155,0.577583721876144,0.577583721876144,0.0153027864565291,0.000234175273334131,2.64944905421185,433.187791407108,433.187791407108
25,,747,0,0.537908375263214,0.592317223548889,0.054408848285675,0.574104986197179,0.574104986197179,0.0113425468128273,0.000128653368201178,1.97569209213097,428.856424689293,428.856424689293
26,,750,0,0.537908375263214,0.586960017681122,0.0490516424179077,0.571865162531535,0.571865162531535,0.0111430526943203,0.000124167623348399,1.94854546568149,428.898871898651,428.898871898651
27,,747,0,0.557530581951141,0.603157579898834,0.0456269979476929,0.570664337440986,0.570664337440986,0.00994423234568663,9.88877569450001e-05,1.74257119172354,426.286260068417,426.286260068417
28,,750,0,0.557530581951141,0.579195320606232,0.0216647386550903,0.573448746442795,0.573448746442795,0.00813130047446099,6.61180474059696e-05,1.41796464372813,430.086559832096,430.086559832096
29,,748,0,0.572167754173279,0.59374612569809,0.0215783715248108,0.576696948810695,0.576696948810695,0.00644504024288645,4.15385437324259e-05,1.11757834963023,431.3693177104,431.3693177104
30,,749,0,0.56157249212265,0.59374612569809,0.0321736335754395,0.580652067833176,0.580652067833176,0.00940235376318963,8.84042562881662e-05,1.61927499858503,434.908398807049,434.908398807049
